# Temp(K)	Pressure(MPa)	Experimental(mW/m*K)	NIST(mW/m*K)	Model(mW/m*K)
1.980999999999999943e+02	4.568999999999999950e+00	3.650000000000000000e+01	3.654439999999999600e+01	3.742796832251082151e+01
1.981380000000000052e+02	4.860999999999999766e+00	4.050000000000000000e+01	4.094960000000000377e+01	4.011634367724865768e+01
1.976970000000000027e+02	5.049000000000000377e+00	4.510000000000000142e+01	4.631520000000000437e+01	4.482401778379031043e+01
1.976260000000000048e+02	5.173000000000000043e+00	4.929999999999999716e+01	5.068700000000000472e+01	4.973261502645505061e+01
1.976370000000000005e+02	5.230000000000000426e+00	5.150000000000000000e+01	5.291579999999999728e+01	5.148789029100530712e+01
1.975370000000000061e+02	5.328999999999999737e+00	5.460000000000000142e+01	5.818170000000000641e+01	5.502270621693118358e+01
1.976399999999999864e+02	5.408000000000000362e+00	5.839999999999999858e+01	6.157060000000000599e+01	5.741460863756616106e+01
1.978640000000000043e+02	5.500000000000000000e+00	6.219999999999999574e+01	6.442779999999999063e+01	6.272892270683026084e+01
1.979600000000000080e+02	5.692999999999999616e+00	6.940000000000000568e+01	6.934820000000000562e+01	6.694206992905245102e+01
1.981810000000000116e+02	5.964999999999999858e+00	7.200000000000000000e+01	6.989670000000000982e+01	7.131124923280415828e+01
1.981819999999999879e+02	6.570999999999999730e+00	7.409999999999999432e+01	7.223599999999999000e+01	7.418971813492056810e+01
1.981359999999999957e+02	7.445000000000000284e+00	7.760000000000000853e+01	7.660469999999999402e+01	7.729622367724877563e+01
1.983940000000000055e+02	8.897999999999999687e+00	8.269999999999998863e+01	8.211379999999999768e+01	8.240805584656077087e+01
1.987580000000000098e+02	1.117900000000000027e+01	8.909999999999999432e+01	8.881369999999999720e+01	8.914993067460319764e+01
1.986399999999999864e+02	1.444999999999999929e+01	9.679999999999999716e+01	9.688979999999999393e+01	9.598107444444451630e+01
1.990260000000000105e+02	1.921900000000000119e+01	1.060000000000000000e+02	1.057749999999999915e+02	1.057840117195766254e+02
2.001690000000000111e+02	2.607100000000000151e+01	1.150999999999999943e+02	1.156390000000000100e+02	1.161446319047619369e+02
2.004300000000000068e+02	3.526400000000000290e+01	1.274000000000000199e+02	1.275360000000000156e+02	1.269646243650792883e+02
2.002299999999999898e+02	4.724199999999999733e+01	1.413000000000000114e+02	1.411399999999999864e+02	1.406851879151404887e+02
2.005579999999999927e+02	6.261899999999999977e+01	1.567000000000000171e+02	1.559850000000000136e+02	1.564198339682536982e+02
2.005550000000000068e+02	6.941899999999999693e+01	1.635000000000000000e+02	1.621419999999999959e+02	1.627619378439151205e+02
2.141550000000000011e+02	5.022000000000000242e+00	3.410000000000000142e+01	3.351590000000000202e+01	3.424710346296298979e+01
2.141740000000000066e+02	5.810999999999999943e+00	3.850000000000000000e+01	3.796600000000000108e+01	3.904827757936512000e+01
2.139089999999999918e+02	6.371999999999999886e+00	4.279999999999999716e+01	4.252469999999999573e+01	4.310975285714290806e+01
2.135629999999999882e+02	6.929000000000000270e+00	4.850000000000000000e+01	4.837839999999999918e+01	4.871954789682542497e+01
2.132390000000000043e+02	7.357000000000000206e+00	5.329999999999999716e+01	5.338480000000000558e+01	5.397199444444436267e+01
2.133420000000000130e+02	7.759999999999999787e+00	5.720000000000000284e+01	5.710640000000000072e+01	5.726986158730161236e+01
2.134950000000000045e+02	8.255000000000000782e+00	6.090000000000000568e+01	6.068760000000000332e+01	6.150517716931208412e+01
2.134360000000000070e+02	8.696999999999999176e+00	6.400000000000000000e+01	6.342490000000000805e+01	6.378353629629627619e+01
2.136049999999999898e+02	9.310000000000000497e+00	6.700000000000000000e+01	6.631779999999999120e+01	6.731497613756609155e+01
2.142740000000000009e+02	1.006900000000000084e+01	6.970000000000000284e+01	6.893720000000000425e+01	6.983052578042330083e+01
2.143859999999999957e+02	1.110599999999999987e+01	7.350000000000000000e+01	7.275149999999999295e+01	7.372320544973550227e+01
2.144749999999999943e+02	1.241900000000000048e+01	7.760000000000000853e+01	7.696690000000000964e+01	7.765002552910057432e+01
2.150190000000000055e+02	1.425699999999999967e+01	8.190000000000000568e+01	8.166850000000000875e+01	8.178392612433864883e+01
2.153669999999999902e+02	1.676500000000000057e+01	8.729999999999999716e+01	8.737890000000000157e+01	8.742944349206349841e+01
2.151519999999999868e+02	2.027299999999999969e+01	9.439999999999999147e+01	9.460800000000000409e+01	9.464459167989417665e+01
2.154579999999999984e+02	2.488800000000000168e+01	1.020999999999999943e+02	1.022600000000000051e+02	1.020769519227993385e+02
2.151910000000000025e+02	3.124899999999999878e+01	1.116000000000000085e+02	1.117019999999999982e+02	1.107878607936507365e+02
2.149139999999999873e+02	3.961599999999999966e+01	1.223000000000000114e+02	1.223680000000000092e+02	1.217729136243385142e+02
2.151740000000000066e+02	4.855100000000000193e+01	1.323000000000000114e+02	1.320759999999999934e+02	1.322099647763347718e+02
2.154159999999999968e+02	5.764900000000000091e+01	1.415000000000000000e+02	1.410639999999999930e+02	1.412422397089947026e+02
2.151670000000000016e+02	6.610200000000000387e+01	1.499000000000000057e+02	1.491319999999999766e+02	1.503462923412699013e+02
2.151459999999999866e+02	6.927100000000000080e+01	1.531000000000000227e+02	1.519939999999999998e+02	1.521806390873015857e+02
2.344430000000000121e+02	5.136000000000000121e+00	3.360000000000000142e+01	3.293769999999999953e+01	2.980226561111108907e+01
2.349170000000000016e+02	7.131999999999999673e+00	3.939999999999999858e+01	3.906260000000000332e+01	3.833336392063493037e+01
2.339459999999999980e+02	9.426999999999999602e+00	5.039999999999999858e+01	4.996350000000000335e+01	5.067670038095243967e+01
2.341769999999999925e+02	1.147199999999999953e+01	5.920000000000000284e+01	5.902720000000000056e+01	5.814022746031751154e+01
2.344890000000000043e+02	1.360200000000000031e+01	6.619999999999998863e+01	6.609409999999999741e+01	6.520809390211641698e+01
2.343679999999999950e+02	1.575099999999999945e+01	7.229999999999999716e+01	7.206260000000000332e+01	7.295503349206346400e+01
2.341560000000000059e+02	1.769300000000000139e+01	7.700000000000000000e+01	7.679080000000000439e+01	7.704955267195759916e+01
2.339960000000000093e+02	2.053500000000000014e+01	8.279999999999999716e+01	8.279160000000000252e+01	8.334289558201052728e+01
2.344540000000000077e+02	2.341100000000000136e+01	8.779999999999999716e+01	8.780330000000000723e+01	8.659317104497348794e+01
2.343230000000000075e+02	2.693199999999999861e+01	9.360000000000000853e+01	9.363790000000000191e+01	9.386876134920638037e+01
2.343870000000000005e+02	3.036400000000000077e+01	9.900000000000000000e+01	9.868420000000000414e+01	9.816030392857142317e+01
2.341579999999999870e+02	3.409000000000000341e+01	1.035999999999999943e+02	1.038790000000000049e+02	1.044837016666667324e+02
2.345889999999999986e+02	3.754699999999999704e+01	1.080000000000000000e+02	1.080249999999999915e+02	1.075705988624338545e+02
2.344830000000000041e+02	4.102000000000000313e+01	1.122999999999999972e+02	1.122330000000000041e+02	1.130871161904762090e+02
2.344230000000000018e+02	4.435199999999999676e+01	1.164000000000000057e+02	1.160510000000000019e+02	1.157985367724866705e+02
2.343000000000000114e+02	4.792999999999999972e+01	1.202999999999999972e+02	1.200049999999999955e+02	1.206465031878305751e+02
2.342760000000000105e+02	5.124300000000000210e+01	1.240000000000000000e+02	1.234759999999999991e+02	1.238044273015872818e+02
2.346759999999999877e+02	5.510199999999999676e+01	1.277999999999999972e+02	1.271400000000000006e+02	1.278293796428570488e+02
2.346359999999999957e+02	5.841599999999999682e+01	1.310999999999999943e+02	1.303849999999999909e+02	1.310840043650794087e+02
2.345660000000000025e+02	6.188600000000000279e+01	1.344000000000000057e+02	1.337029999999999745e+02	1.346343667460316169e+02
2.344910000000000139e+02	6.538400000000000034e+01	1.379000000000000057e+02	1.369619999999999891e+02	1.382960105158731210e+02
2.344919999999999902e+02	6.875900000000000034e+01	1.411999999999999886e+02	1.399910000000000139e+02	1.405932826322752192e+02
2.549850000000000136e+02	4.724999999999999645e+00	3.370000000000000284e+01	3.329080000000000439e+01	3.348910919312167778e+01
2.546680000000000064e+02	6.554000000000000270e+00	3.710000000000000142e+01	3.654829999999999757e+01	3.711875534391536036e+01
2.556119999999999948e+02	6.788999999999999702e+00	3.769999999999999574e+01	3.706299999999999528e+01	3.779742642857144830e+01
2.549939999999999998e+02	8.785999999999999588e+00	4.279999999999999716e+01	4.200280000000000058e+01	4.322044886243384099e+01
2.553029999999999973e+02	1.118500000000000050e+01	4.939999999999999858e+01	4.925840000000000174e+01	5.009011425925923788e+01
2.549230000000000018e+02	1.327100000000000080e+01	5.559999999999999432e+01	5.583030000000000115e+01	5.492896034920634207e+01
2.553480000000000132e+02	1.539899999999999913e+01	6.119999999999999574e+01	6.152880000000000393e+01	6.165919680495431265e+01
2.551140000000000043e+02	1.752100000000000080e+01	6.629999999999999716e+01	6.664770000000000039e+01	6.625704603174605722e+01
2.549010000000000105e+02	2.035300000000000153e+01	7.240000000000000568e+01	7.257789999999999964e+01	7.302308507936510296e+01
2.552620000000000005e+02	2.342299999999999827e+01	7.779999999999999716e+01	7.801569999999999538e+01	7.778818939634436447e+01
2.549720000000000084e+02	2.685000000000000142e+01	8.340000000000000568e+01	8.369699999999998852e+01	8.328468522366522109e+01
2.549099999999999966e+02	3.039900000000000091e+01	8.879999999999999716e+01	8.894849999999999568e+01	8.848589874603169392e+01
2.548400000000000034e+02	3.390800000000000125e+01	9.370000000000000284e+01	9.373250000000000171e+01	9.281060699735449759e+01
2.548340000000000032e+02	3.737400000000000233e+01	9.810000000000000853e+01	9.811430000000000007e+01	9.790070620370372012e+01
2.557119999999999891e+02	4.072899999999999920e+01	1.022000000000000028e+02	1.017399999999999949e+02	1.015639738888888957e+02
2.553369999999999891e+02	4.463199999999999790e+01	1.063000000000000114e+02	1.062939999999999969e+02	1.057534833730159107e+02
2.552280000000000086e+02	4.808899999999999864e+01	1.102000000000000028e+02	1.100470000000000113e+02	1.102513313888888433e+02
2.551589999999999918e+02	5.167300000000000182e+01	1.139000000000000057e+02	1.137630000000000052e+02	1.133429919973545452e+02
2.552750000000000057e+02	5.620700000000000074e+01	1.184000000000000057e+02	1.181820000000000022e+02	1.186651603571429092e+02
2.548439999999999941e+02	5.968599999999999994e+01	1.220999999999999943e+02	1.216740000000000066e+02	1.217320723809524310e+02
2.551910000000000025e+02	6.325699999999999790e+01	1.255999999999999943e+02	1.248120000000000118e+02	1.256339954545454134e+02
2.551349999999999909e+02	6.647599999999999909e+01	1.287000000000000171e+02	1.277250000000000085e+02	1.286013296031746336e+02
2.746360000000000241e+02	6.506999999999999673e+00	3.810000000000000142e+01	3.750600000000000023e+01	3.802514362433861095e+01
2.764479999999999791e+02	8.403999999999999915e+00	4.130000000000000426e+01	4.076129999999999853e+01	4.134409365079365983e+01
2.758480000000000132e+02	1.055499999999999972e+01	4.550000000000000000e+01	4.506159999999999854e+01	4.550920022486769767e+01
2.758999999999999773e+02	1.267500000000000071e+01	5.010000000000000142e+01	4.985490000000000066e+01	4.993940841269839126e+01
