# Temp(K)	Pressure(MPa)	Experimental(mW/m*K)	NIST(mW/m*K)	Model(mW/m*K)
1.114300000000000068e+02	5.530000000000000471e-01	1.847000000000000171e+02	1.845390000000000157e+02	1.917826156453463966e+02
1.113310000000000031e+02	1.163700000000000045e+01	1.971999999999999886e+02	1.962789999999999964e+02	1.990461317989956171e+02
1.114830000000000041e+02	2.269099999999999895e+01	2.076999999999999886e+02	2.066060000000000230e+02	2.103749188718106211e+02
1.113280000000000030e+02	3.411299999999999955e+01	2.175000000000000000e+02	2.168720000000000141e+02	2.175076800634488734e+02
1.112049999999999983e+02	4.492900000000000205e+01	2.262000000000000171e+02	2.260040000000000191e+02	2.265655591094967178e+02
1.110810000000000031e+02	5.673599999999999710e+01	2.353000000000000114e+02	2.354789999999999850e+02	2.348189449216941114e+02
1.109620000000000033e+02	6.864400000000000546e+01	2.436999999999999886e+02	2.446189999999999998e+02	2.437647234390388178e+02
1.348669999999999902e+02	7.640000000000000124e-01	1.519000000000000057e+02	1.511530000000000200e+02	1.521147500427048840e+02
1.349060000000000059e+02	1.170899999999999963e+01	1.670000000000000000e+02	1.657359999999999900e+02	1.678331646185096986e+02
1.347520000000000095e+02	2.296199999999999974e+01	1.800000000000000000e+02	1.786730000000000018e+02	1.804846843299962416e+02
1.348720000000000141e+02	3.417699999999999960e+01	1.913000000000000114e+02	1.898880000000000052e+02	1.913000688066291275e+02
1.347129999999999939e+02	4.557600000000000051e+01	2.019000000000000057e+02	2.006850000000000023e+02	2.023104795295460008e+02
1.348230000000000075e+02	5.674799999999999756e+01	2.114000000000000057e+02	2.103190000000000168e+02	2.110423241871860682e+02
1.346430000000000007e+02	6.792600000000000193e+01	2.202999999999999829e+02	2.197659999999999911e+02	2.199862018169766600e+02
1.549110000000000014e+02	1.596999999999999975e+00	1.227000000000000028e+02	1.228539999999999992e+02	1.237243986321457214e+02
1.547450000000000045e+02	6.753999999999999559e+00	1.327000000000000171e+02	1.328220000000000027e+02	1.318762705747977293e+02
1.549759999999999991e+02	1.457699999999999996e+01	1.445999999999999943e+02	1.444320000000000164e+02	1.450425843720583430e+02
1.550970000000000084e+02	2.531400000000000006e+01	1.584000000000000057e+02	1.578700000000000045e+02	1.579261272464110846e+02
1.552139999999999986e+02	3.599399999999999977e+01	1.701999999999999886e+02	1.694890000000000043e+02	1.705694928543097149e+02
1.550629999999999882e+02	4.663000000000000256e+01	1.812999999999999829e+02	1.802439999999999998e+02	1.804532087428593741e+02
1.548750000000000000e+02	5.692399999999999949e+01	1.910000000000000000e+02	1.899609999999999843e+02	1.918094661187566885e+02
1.547079999999999984e+02	6.703300000000000125e+01	1.998000000000000114e+02	1.989579999999999984e+02	1.988493329382197317e+02
1.746100000000000136e+02	4.613999999999999879e+00	1.005999999999999943e+02	1.003670000000000044e+02	1.010283183142145020e+02
1.747510000000000048e+02	1.270800000000000018e+01	1.180000000000000000e+02	1.184669999999999987e+02	1.183566139032747913e+02
1.749950000000000045e+02	1.972200000000000131e+01	1.292000000000000171e+02	1.294609999999999843e+02	1.288268399283108181e+02
1.751479999999999961e+02	2.645200000000000173e+01	1.383000000000000114e+02	1.384559999999999889e+02	1.389442313876647574e+02
1.750039999999999907e+02	3.379599999999999937e+01	1.476000000000000227e+02	1.474650000000000034e+02	1.475689802693217132e+02
1.752179999999999893e+02	4.128399999999999892e+01	1.559000000000000057e+02	1.555100000000000193e+02	1.560606130986128335e+02
1.750989999999999895e+02	4.814600000000000080e+01	1.630999999999999943e+02	1.626550000000000011e+02	1.633333471163921615e+02
1.749350000000000023e+02	5.505799999999999983e+01	1.703000000000000114e+02	1.695049999999999955e+02	1.693666262101493771e+02
1.748340000000000032e+02	6.163900000000000290e+01	1.764000000000000057e+02	1.756860000000000070e+02	1.757501387669078667e+02
1.750000000000000000e+02	6.837000000000000455e+01	1.822999999999999829e+02	1.815349999999999966e+02	1.820351521896526776e+02
1.118269999999999982e+02	5.610000000000000542e-01	1.842699999999999818e+02	1.839919999999999902e+02	1.917826156453463966e+02
1.116550000000000011e+02	5.560000000000000497e-01	1.847600000000000193e+02	1.842280000000000086e+02	1.917826156453463966e+02
1.112549999999999955e+02	5.510000000000000453e-01	1.847500000000000000e+02	1.847810000000000059e+02	1.896821134689211306e+02
1.109830000000000041e+02	5.460000000000000409e-01	1.851200000000000045e+02	1.851549999999999727e+02	1.903379333305416878e+02
1.117620000000000005e+02	1.164400000000000013e+01	1.968100000000000023e+02	1.957330000000000041e+02	1.998995120270557209e+02
1.113629999999999995e+02	1.164100000000000001e+01	1.967899999999999920e+02	1.962419999999999902e+02	1.990461317989956171e+02
1.112150000000000034e+02	1.163499999999999979e+01	1.975399999999999920e+02	1.964259999999999877e+02	1.986150967043380717e+02
1.109849999999999994e+02	1.163000000000000078e+01	1.975800000000000125e+02	1.967160000000000082e+02	1.992709165659586290e+02
1.117680000000000007e+02	2.269800000000000040e+01	2.070399999999999920e+02	2.062700000000000102e+02	2.103749188718106211e+02
1.116880000000000024e+02	2.269300000000000139e+01	2.076200000000000045e+02	2.063609999999999900e+02	2.103749188718106211e+02
1.113010000000000019e+02	2.268799999999999883e+01	2.077500000000000000e+02	2.068220000000000027e+02	2.069915261415917769e+02
1.111730000000000018e+02	2.268199999999999861e+01	2.084600000000000080e+02	2.069699999999999989e+02	2.122973733741147555e+02
1.116129999999999995e+02	3.411899999999999977e+01	2.168100000000000023e+02	2.165529999999999973e+02	2.192709646138714561e+02
1.114719999999999942e+02	3.411699999999999733e+01	2.177900000000000205e+02	2.167119999999999891e+02	2.192709646138714561e+02
1.112309999999999945e+02	3.411200000000000188e+01	2.176099999999999852e+02	2.169809999999999945e+02	2.204052571467328789e+02
1.109969999999999999e+02	3.410900000000000176e+01	2.179599999999999795e+02	2.172439999999999998e+02	2.234139679113005457e+02
1.115079999999999956e+02	4.493900000000000006e+01	2.256899999999999977e+02	2.256839999999999975e+02	2.205636891578566861e+02
1.113469999999999942e+02	4.493200000000000216e+01	2.260200000000000102e+02	2.258530000000000086e+02	2.204397755137267438e+02
1.111009999999999991e+02	4.492600000000000193e+01	2.262400000000000091e+02	2.261150000000000091e+02	2.244557661699327582e+02
1.108629999999999995e+02	4.492000000000000171e+01	2.266700000000000159e+02	2.263680000000000234e+02	2.249687293341474117e+02
1.114330000000000069e+02	5.674399999999999977e+01	2.349399999999999977e+02	2.351200000000000045e+02	2.319715897590126588e+02
1.111809999999999974e+02	5.674000000000000199e+01	2.351699999999999875e+02	2.353790000000000191e+02	2.353877869346472949e+02
1.109629999999999939e+02	5.673499999999999943e+01	2.354199999999999875e+02	2.356009999999999991e+02	2.361762076212850729e+02
1.107450000000000045e+02	5.672599999999999909e+01	2.355399999999999920e+02	2.358189999999999884e+02	2.358603575161089339e+02
1.112180000000000035e+02	6.863500000000000512e+01	2.432500000000000000e+02	2.443580000000000041e+02	2.367128989036150699e+02
1.111039999999999992e+02	6.863899999999999579e+01	2.436800000000000068e+02	2.444739999999999895e+02	2.391747406410073324e+02
1.108940000000000055e+02	6.864700000000000557e+01	2.438100000000000023e+02	2.446889999999999930e+02	2.393774235159037005e+02
1.106310000000000002e+02	6.865900000000000603e+01	2.440499999999999829e+02	2.449600000000000080e+02	2.393774235159037005e+02
1.353689999999999998e+02	7.780000000000000249e-01	1.513599999999999852e+02	1.504389999999999930e+02	1.610890197413328053e+02
1.350540000000000020e+02	7.720000000000000195e-01	1.518100000000000023e+02	1.508909999999999911e+02	1.610890197413328053e+02
1.346630000000000109e+02	7.610000000000000098e-01	1.520300000000000011e+02	1.514470000000000027e+02	1.595189040281200050e+02
1.343830000000000098e+02	7.449999999999999956e-01	1.524499999999999886e+02	1.518319999999999936e+02	1.595189040281200050e+02
1.353950000000000102e+02	1.171799999999999997e+01	1.664300000000000068e+02	1.651150000000000091e+02	1.770470276183647513e+02
1.350720000000000027e+02	1.171499999999999986e+01	1.668700000000000045e+02	1.655280000000000200e+02	1.770470276183647513e+02
1.347239999999999895e+02	1.170899999999999963e+01	1.670800000000000125e+02	1.659710000000000036e+02	1.737090691191345400e+02
1.344329999999999927e+02	1.169400000000000084e+01	1.675500000000000114e+02	1.663290000000000077e+02	1.789963837344318733e+02
1.352549999999999955e+02	2.296399999999999864e+01	1.795099999999999909e+02	1.780730000000000075e+02	1.789811543809302066e+02
1.348549999999999898e+02	2.296300000000000097e+01	1.800900000000000034e+02	1.785509999999999877e+02	1.700810573033465118e+02
1.345960000000000036e+02	2.296099999999999852e+01	1.799600000000000080e+02	1.788589999999999804e+02	1.864619988629108889e+02
