# Temp(K)	Pressure(MPa)	Experimental(mW/m*K)	NIST(mW/m*K)	Model(mW/m*K)
1.980999999999999943e+02	4.568999999999999950e+00	3.650000000000000000e+01	3.654439999999999600e+01	7.313580615790583295e+01
1.981380000000000052e+02	4.860999999999999766e+00	4.050000000000000000e+01	4.094960000000000377e+01	7.323709955304204300e+01
1.976970000000000027e+02	5.049000000000000377e+00	4.510000000000000142e+01	4.631520000000000437e+01	7.334823906529175019e+01
1.976260000000000048e+02	5.173000000000000043e+00	4.929999999999999716e+01	5.068700000000000472e+01	7.339967688964384251e+01
1.976370000000000005e+02	5.230000000000000426e+00	5.150000000000000000e+01	5.291579999999999728e+01	7.341905246089730497e+01
1.975370000000000061e+02	5.328999999999999737e+00	5.460000000000000142e+01	5.818170000000000641e+01	7.346428768010238741e+01
1.976399999999999864e+02	5.408000000000000362e+00	5.839999999999999858e+01	6.157060000000000599e+01	7.348264998170930085e+01
1.978640000000000043e+02	5.500000000000000000e+00	6.219999999999999574e+01	6.442779999999999063e+01	7.349404196566300129e+01
1.979600000000000080e+02	5.692999999999999616e+00	6.940000000000000568e+01	6.934820000000000562e+01	7.355431314508022922e+01
1.981810000000000116e+02	5.964999999999999858e+00	7.200000000000000000e+01	6.989670000000000982e+01	7.363137174747214431e+01
1.981819999999999879e+02	6.570999999999999730e+00	7.409999999999999432e+01	7.223599999999999000e+01	7.385070477806438305e+01
1.981359999999999957e+02	7.445000000000000284e+00	7.760000000000000853e+01	7.660469999999999402e+01	7.417214050041404505e+01
1.983940000000000055e+02	8.897999999999999687e+00	8.269999999999998863e+01	8.211379999999999768e+01	7.467964970374362110e+01
1.987580000000000098e+02	1.117900000000000027e+01	8.909999999999999432e+01	8.881369999999999720e+01	7.549035130644529090e+01
1.986399999999999864e+02	1.444999999999999929e+01	9.679999999999999716e+01	9.688979999999999393e+01	7.671676227449839303e+01
1.990260000000000105e+02	1.921900000000000119e+01	1.060000000000000000e+02	1.057749999999999915e+02	7.849807382502783071e+01
2.001690000000000111e+02	2.607100000000000151e+01	1.150999999999999943e+02	1.156390000000000100e+02	8.111993285770462592e+01
2.004300000000000068e+02	3.526400000000000290e+01	1.274000000000000199e+02	1.275360000000000156e+02	8.481275804960384335e+01
2.002299999999999898e+02	4.724199999999999733e+01	1.413000000000000114e+02	1.411399999999999864e+02	8.979211482373602848e+01
2.005579999999999927e+02	6.261899999999999977e+01	1.567000000000000171e+02	1.559850000000000136e+02	9.651671980291958164e+01
2.005550000000000068e+02	6.941899999999999693e+01	1.635000000000000000e+02	1.621419999999999959e+02	9.958758918865602539e+01
2.141550000000000011e+02	5.022000000000000242e+00	3.410000000000000142e+01	3.351590000000000202e+01	7.156938056408502291e+01
2.141740000000000066e+02	5.810999999999999943e+00	3.850000000000000000e+01	3.796600000000000108e+01	7.189934391719420148e+01
2.139089999999999918e+02	6.371999999999999886e+00	4.279999999999999716e+01	4.252469999999999573e+01	7.216562450278674135e+01
2.135629999999999882e+02	6.929000000000000270e+00	4.850000000000000000e+01	4.837839999999999918e+01	7.243823377927246554e+01
2.132390000000000043e+02	7.357000000000000206e+00	5.329999999999999716e+01	5.338480000000000558e+01	7.265309472142462255e+01
2.133420000000000130e+02	7.759999999999999787e+00	5.720000000000000284e+01	5.710640000000000072e+01	7.281163759440121908e+01
2.134950000000000045e+02	8.255000000000000782e+00	6.090000000000000568e+01	6.068760000000000332e+01	7.300436183591835970e+01
2.134360000000000070e+02	8.696999999999999176e+00	6.400000000000000000e+01	6.342490000000000805e+01	7.319715090871363827e+01
2.136049999999999898e+02	9.310000000000000497e+00	6.700000000000000000e+01	6.631779999999999120e+01	7.343967864096936182e+01
2.142740000000000009e+02	1.006900000000000084e+01	6.970000000000000284e+01	6.893720000000000425e+01	7.369711967475886638e+01
2.143859999999999957e+02	1.110599999999999987e+01	7.350000000000000000e+01	7.275149999999999295e+01	7.413106839592484221e+01
2.144749999999999943e+02	1.241900000000000048e+01	7.760000000000000853e+01	7.696690000000000964e+01	7.468861344702102656e+01
2.150190000000000055e+02	1.425699999999999967e+01	8.190000000000000568e+01	8.166850000000000875e+01	7.544051539262974870e+01
2.153669999999999902e+02	1.676500000000000057e+01	8.729999999999999716e+01	8.737890000000000157e+01	7.651491598298512997e+01
2.151519999999999868e+02	2.027299999999999969e+01	9.439999999999999147e+01	9.460800000000000409e+01	7.808480313113739157e+01
2.154579999999999984e+02	2.488800000000000168e+01	1.020999999999999943e+02	1.022600000000000051e+02	8.014422178033267130e+01
2.151910000000000025e+02	3.124899999999999878e+01	1.116000000000000085e+02	1.117019999999999982e+02	8.306057466342313944e+01
2.149139999999999873e+02	3.961599999999999966e+01	1.223000000000000114e+02	1.223680000000000092e+02	8.696560250079235743e+01
2.151740000000000066e+02	4.855100000000000193e+01	1.323000000000000114e+02	1.320759999999999934e+02	9.125929452437310374e+01
2.154159999999999968e+02	5.764900000000000091e+01	1.415000000000000000e+02	1.410639999999999930e+02	9.577006510470987166e+01
2.151670000000000016e+02	6.610200000000000387e+01	1.499000000000000057e+02	1.491319999999999766e+02	1.000258923864130054e+02
2.151459999999999866e+02	6.927100000000000080e+01	1.531000000000000227e+02	1.519939999999999998e+02	1.016551119425155463e+02
2.344430000000000121e+02	5.136000000000000121e+00	3.360000000000000142e+01	3.293769999999999953e+01	6.900181284945355742e+01
2.349170000000000016e+02	7.131999999999999673e+00	3.939999999999999858e+01	3.906260000000000332e+01	6.994609234240704154e+01
2.339459999999999980e+02	9.426999999999999602e+00	5.039999999999999858e+01	4.996350000000000335e+01	7.123645419823006364e+01
2.341769999999999925e+02	1.147199999999999953e+01	5.920000000000000284e+01	5.902720000000000056e+01	7.225133834116873288e+01
2.344890000000000043e+02	1.360200000000000031e+01	6.619999999999998863e+01	6.609409999999999741e+01	7.331185935422763578e+01
2.343679999999999950e+02	1.575099999999999945e+01	7.229999999999999716e+01	7.206260000000000332e+01	7.443649616678303005e+01
2.341560000000000059e+02	1.769300000000000139e+01	7.700000000000000000e+01	7.679080000000000439e+01	7.546588957753616000e+01
2.339960000000000093e+02	2.053500000000000014e+01	8.279999999999999716e+01	8.279160000000000252e+01	7.696496760645649715e+01
2.344540000000000077e+02	2.341100000000000136e+01	8.779999999999999716e+01	8.780330000000000723e+01	7.845178045695966773e+01
2.343230000000000075e+02	2.693199999999999861e+01	9.360000000000000853e+01	9.363790000000000191e+01	8.033773834297322480e+01
2.343870000000000005e+02	3.036400000000000077e+01	9.900000000000000000e+01	9.868420000000000414e+01	8.218443684019510442e+01
2.341579999999999870e+02	3.409000000000000341e+01	1.035999999999999943e+02	1.038790000000000049e+02	8.421694391505045019e+01
2.345889999999999986e+02	3.754699999999999704e+01	1.080000000000000000e+02	1.080249999999999915e+02	8.611520646732661532e+01
2.344830000000000041e+02	4.102000000000000313e+01	1.122999999999999972e+02	1.122330000000000041e+02	8.804635643121019939e+01
2.344230000000000018e+02	4.435199999999999676e+01	1.164000000000000057e+02	1.160510000000000019e+02	8.991517347737141108e+01
2.343000000000000114e+02	4.792999999999999972e+01	1.202999999999999972e+02	1.200049999999999955e+02	9.193686095997851737e+01
2.342760000000000105e+02	5.124300000000000210e+01	1.240000000000000000e+02	1.234759999999999991e+02	9.382899055137102096e+01
2.346759999999999877e+02	5.510199999999999676e+01	1.277999999999999972e+02	1.271400000000000006e+02	9.608806140051376588e+01
2.346359999999999957e+02	5.841599999999999682e+01	1.310999999999999943e+02	1.303849999999999909e+02	9.802237001468360234e+01
2.345660000000000025e+02	6.188600000000000279e+01	1.344000000000000057e+02	1.337029999999999745e+02	1.000623912840749057e+02
2.344910000000000139e+02	6.538400000000000034e+01	1.379000000000000057e+02	1.369619999999999891e+02	1.021358670200866356e+02
2.344919999999999902e+02	6.875900000000000034e+01	1.411999999999999886e+02	1.399910000000000139e+02	1.041635088243372707e+02
2.549850000000000136e+02	4.724999999999999645e+00	3.370000000000000284e+01	3.329080000000000439e+01	6.556294690701999173e+01
2.546680000000000064e+02	6.554000000000000270e+00	3.710000000000000142e+01	3.654829999999999757e+01	6.670365353284864796e+01
2.556119999999999948e+02	6.788999999999999702e+00	3.769999999999999574e+01	3.706299999999999528e+01	6.669043786733632828e+01
2.549939999999999998e+02	8.785999999999999588e+00	4.279999999999999716e+01	4.200280000000000058e+01	6.798706044190474529e+01
2.553029999999999973e+02	1.118500000000000050e+01	4.939999999999999858e+01	4.925840000000000174e+01	6.938887945333786433e+01
2.549230000000000018e+02	1.327100000000000080e+01	5.559999999999999432e+01	5.583030000000000115e+01	7.070678311852259412e+01
2.553480000000000132e+02	1.539899999999999913e+01	6.119999999999999574e+01	6.152880000000000393e+01	7.195179081377357022e+01
2.551140000000000043e+02	1.752100000000000080e+01	6.629999999999999716e+01	6.664770000000000039e+01	7.328297035644527568e+01
2.549010000000000105e+02	2.035300000000000153e+01	7.240000000000000568e+01	7.257789999999999964e+01	7.505403889081119928e+01
2.552620000000000005e+02	2.342299999999999827e+01	7.779999999999999716e+01	7.801569999999999538e+01	7.693284124279711023e+01
2.549720000000000084e+02	2.685000000000000142e+01	8.340000000000000568e+01	8.369699999999998852e+01	7.910817868384248186e+01
2.549099999999999966e+02	3.039900000000000091e+01	8.879999999999999716e+01	8.894849999999999568e+01	8.135963294517448219e+01
2.548400000000000034e+02	3.390800000000000125e+01	9.370000000000000284e+01	9.373250000000000171e+01	8.360482453635175659e+01
2.548340000000000032e+02	3.737400000000000233e+01	9.810000000000000853e+01	9.811430000000000007e+01	8.583959103769709031e+01
2.557119999999999891e+02	4.072899999999999920e+01	1.022000000000000028e+02	1.017399999999999949e+02	8.802110746739211322e+01
2.553369999999999891e+02	4.463199999999999790e+01	1.063000000000000114e+02	1.062939999999999969e+02	9.059433653478367887e+01
2.552280000000000086e+02	4.808899999999999864e+01	1.102000000000000028e+02	1.100470000000000113e+02	9.289118528355473359e+01
2.551589999999999918e+02	5.167300000000000182e+01	1.139000000000000057e+02	1.137630000000000052e+02	9.529262015590006740e+01
2.552750000000000057e+02	5.620700000000000074e+01	1.184000000000000057e+02	1.181820000000000022e+02	9.837429344098606521e+01
2.548439999999999941e+02	5.968599999999999994e+01	1.220999999999999943e+02	1.216740000000000066e+02	1.007187669371735410e+02
2.551910000000000025e+02	6.325699999999999790e+01	1.255999999999999943e+02	1.248120000000000118e+02	1.032187040535738163e+02
2.551349999999999909e+02	6.647599999999999909e+01	1.287000000000000171e+02	1.277250000000000085e+02	1.054555090114903635e+02
2.746360000000000241e+02	6.506999999999999673e+00	3.810000000000000142e+01	3.750600000000000023e+01	6.313566734773888811e+01
2.764479999999999791e+02	8.403999999999999915e+00	4.130000000000000426e+01	4.076129999999999853e+01	6.411742532011790274e+01
2.758480000000000132e+02	1.055499999999999972e+01	4.550000000000000000e+01	4.506159999999999854e+01	6.574012446122550557e+01
2.758999999999999773e+02	1.267500000000000071e+01	5.010000000000000142e+01	4.985490000000000066e+01	6.722973555768466269e+01
2.760419999999999732e+02	1.465399999999999991e+01	5.450000000000000000e+01	5.441859999999999786e+01	6.861420445335413376e+01
2.757309999999999945e+02	1.695499999999999829e+01	5.939999999999999858e+01	5.954469999999999885e+01	7.030355497983057944e+01
2.755129999999999768e+02	1.915399999999999991e+01	6.370000000000000995e+01	6.401550000000000296e+01	7.190970830453085227e+01
2.755480000000000018e+02	2.132499999999999929e+01	6.770000000000000284e+01	6.798479999999999279e+01	7.346946625182684443e+01
2.753759999999999764e+02	2.353200000000000003e+01	7.150000000000000000e+01	7.174909999999999854e+01	7.508680596858356182e+01
2.751709999999999923e+02	2.698600000000000065e+01	7.700000000000000000e+01	7.713020000000000209e+01	7.762202241518329515e+01
2.750860000000000127e+02	3.048799999999999955e+01	8.210000000000000853e+01	8.208350000000000080e+01	8.019832482851433042e+01
2.756960000000000264e+02	3.398899999999999721e+01	8.679999999999999716e+01	8.646450000000000102e+01	8.275616669833468109e+01
2.752230000000000132e+02	3.753000000000000114e+01	9.009999999999999432e+01	9.092169999999998709e+01	8.542645680507381201e+01
2.751139999999999759e+02	4.115200000000000102e+01	9.550000000000000000e+01	9.511830000000000496e+01	8.815755525135855919e+01
2.750140000000000100e+02	4.465999999999999659e+01	9.950000000000000000e+01	9.897910000000000252e+01	9.082177205435989720e+01
2.749599999999999795e+02	4.807900000000000063e+01	1.030000000000000000e+02	1.025649999999999977e+02	9.343761947242538213e+01
2.754159999999999968e+02	5.173299999999999699e+01	1.065999999999999943e+02	1.060720000000000027e+02	9.627559998687884502e+01
2.753910000000000196e+02	5.523499999999999943e+01	1.102000000000000028e+02	1.094569999999999936e+02	9.900840096817992730e+01
2.752939999999999827e+02	5.874799999999999756e+01	1.136000000000000085e+02	1.127660000000000053e+02	1.017663691302275168e+02
2.752350000000000136e+02	6.250099999999999767e+01	1.172000000000000028e+02	1.161800000000000068e+02	1.047386947741133980e+02
2.751750000000000114e+02	6.583700000000000330e+01	1.200999999999999943e+02	1.191340000000000003e+02	1.074002064003809664e+02
2.756539999999999964e+02	6.925300000000000011e+01	1.230999999999999943e+02	1.218930000000000007e+02	1.102173313035964952e+02
2.954710000000000036e+02	5.977999999999999758e+00	3.869999999999999574e+01	3.868789999999999907e+01	5.837384213349746176e+01
2.949560000000000173e+02	8.080999999999999517e+00	4.150000000000000000e+01	4.129359999999999786e+01	6.016849809438259911e+01
2.945389999999999873e+02	1.036899999999999977e+01	4.500000000000000000e+01	4.474199999999999733e+01	6.208781305687517715e+01
2.942429999999999950e+02	1.217300000000000004e+01	4.809999999999999432e+01	4.785009999999999764e+01	6.359437691761388578e+01
2.946909999999999741e+02	1.429800000000000004e+01	5.170000000000000284e+01	5.175099999999999767e+01	6.522508791023844310e+01
2.943700000000000045e+02	1.638100000000000023e+01	5.530000000000000426e+01	5.566989999999999839e+01	6.697125014033098012e+01
2.940819999999999936e+02	1.866000000000000014e+01	5.939999999999999858e+01	5.984250000000000114e+01	6.887280117218793407e+01
2.938990000000000009e+02	2.143299999999999983e+01	6.410000000000000853e+01	6.457430000000000803e+01	7.116642211243312488e+01
2.944959999999999809e+02	2.512800000000000011e+01	6.959999999999999432e+01	7.014819999999998856e+01	7.413430873766442630e+01
2.945079999999999814e+02	2.871600000000000108e+01	7.480000000000001137e+01	7.512040000000000362e+01	7.712270820061894483e+01
2.954069999999999823e+02	3.248499999999999943e+01	7.939999999999999147e+01	7.974649999999999750e+01	8.021591296766339951e+01
2.952649999999999864e+02	3.613600000000000279e+01	8.370000000000000284e+01	8.410490000000000066e+01	8.333771005578743996e+01
2.951940000000000168e+02	3.944299999999999784e+01	8.750000000000000000e+01	8.782669999999998822e+01	8.618033553229606980e+01
2.951600000000000250e+02	4.282699999999999818e+01	9.120000000000000284e+01	9.144960000000000377e+01	8.910768121273072495e+01
2.950740000000000123e+02	4.633299999999999841e+01	9.500000000000000000e+01	9.505360000000000298e+01	9.216329503406414858e+01
2.950670000000000073e+02	5.000000000000000000e+01	9.879999999999999716e+01	9.865139999999999532e+01	9.538285369590512630e+01
2.949250000000000114e+02	5.368299999999999983e+01	1.022999999999999972e+02	1.021630000000000109e+02	9.863820590651805276e+01
2.944390000000000214e+02	5.706099999999999994e+01	1.055999999999999943e+02	1.053759999999999906e+02	1.016228493393521148e+02
2.943870000000000005e+02	6.057699999999999818e+01	1.088999999999999915e+02	1.085079999999999956e+02	1.047679698673035489e+02
2.943070000000000164e+02	6.395300000000000296e+01	1.120000000000000000e+02	1.114419999999999931e+02	1.078063675961249004e+02
2.949080000000000155e+02	6.732099999999999795e+01	1.150000000000000000e+02	1.141069999999999993e+02	1.109348643117462530e+02
3.085350000000000250e+02	4.743000000000000327e+00	3.919999999999999574e+01	3.892110000000000269e+01	5.418218267146231426e+01
3.087699999999999818e+02	6.732999999999999652e+00	4.139999999999999858e+01	4.093659999999999854e+01	5.585502941638664254e+01
3.084649999999999750e+02	8.877000000000000668e+00	4.410000000000000142e+01	4.343469999999999942e+01	5.706498561914438028e+01
3.084569999999999936e+02	1.103899999999999970e+01	4.700000000000000000e+01	4.638430000000000319e+01	5.904749588456957099e+01
3.081899999999999977e+02	1.314799999999999969e+01	5.020000000000000284e+01	4.957530000000000570e+01	6.104888460518512261e+01
3.079830000000000041e+02	1.518599999999999994e+01	5.319999999999999574e+01	5.286239999999999384e+01	6.297135881117581846e+01
3.086270000000000095e+02	1.727799999999999869e+01	5.639999999999999858e+01	5.626649999999999352e+01	6.476540481995816378e+01
3.084250000000000114e+02	1.946399999999999864e+01	5.989999999999999858e+01	5.978900000000000148e+01	6.683737203145200567e+01
3.082470000000000141e+02	2.241900000000000048e+01	6.419999999999998863e+01	6.432269999999999754e+01	6.962397477248042321e+01
3.081490000000000009e+02	2.602799999999999869e+01	6.940000000000000568e+01	6.942479999999999052e+01	7.301751813866114560e+01
3.089309999999999832e+02	2.947700000000000031e+01	7.409999999999999432e+01	7.378780000000000427e+01	7.615353222479592432e+01
3.085620000000000118e+02	3.309799999999999898e+01	7.829999999999999716e+01	7.819030000000000769e+01	7.963927453130347089e+01
3.084220000000000255e+02	3.652000000000000313e+01	8.210000000000000853e+01	8.207680000000000575e+01	8.291667451911500564e+01
3.082149999999999750e+02	3.991100000000000136e+01	8.609999999999999432e+01	8.574809999999999377e+01	8.618132713864618211e+01
3.088210000000000264e+02	4.308200000000000074e+01	8.930000000000001137e+01	8.889050000000000296e+01	8.919696902288939100e+01
3.087019999999999982e+02	4.672699999999999676e+01	9.310000000000000853e+01	9.249499999999999034e+01	9.273939281648941346e+01
3.086200000000000045e+02	5.012599999999999767e+01	9.640000000000000568e+01	9.572580000000000666e+01	9.605588590587200315e+01
3.085849999999999795e+02	5.347599999999999909e+01	9.970000000000000284e+01	9.879680000000000462e+01	9.933887715839786381e+01
3.084540000000000077e+02	5.700900000000000034e+01	1.030000000000000000e+02	1.019560000000000031e+02	1.028157366093691394e+02
3.083949999999999818e+02	6.053099999999999881e+01	1.063000000000000114e+02	1.050009999999999906e+02	1.062988474694899850e+02
